Feature Number,Chosen Feature,Mean r2
1,stroke_severity,0.08790144428374817
2,stroke_team,0.11290757648054564
3,prior_disability,0.1336339388183831
4,age,0.14323573365045025
5,thrombolysis,0.15090508944896205
6,arrive_by_ambulance,0.15667092155932819
7,infarction,0.1606779280386602
8,arrival_to_scan_time,0.1644096921768617
9,new_afib_diagnosis,0.16725164747929827
10,atrial_fibrillation,0.1751733182988625
11,onset_to_arrival_time,0.17618914298037153
12,ethnicity,0.1770294314284236
13,thrombolysis_induced_haemorrhage,0.17792982810316543
14,thrombectomy,0.17829292581128273
15,diabetes,0.1794657187239214
16,male,0.17988901915344807
17,congestive_heart_failure,0.18016136687370188
18,afib_antiplatelet,0.1801964118872562
19,random_2,0.180087459069245
20,onset_during_sleep,0.18038749736467635
21,precise_onset_known,0.17995171001149562
22,afib_anticoagulant,0.1804560848196653
23,hypertension,0.18012563071510895
24,any_afib_diagnosis,0.18031382214708896
25,onset_known,0.18015237854700625
26,prior_stroke_tia,0.17997916601073533
27,random_3,0.17932341845993394
28,random_1,0.17878808933856874
